,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title
0,0,3,0,1,1,0,0,2,Mr
1,1,1,1,2,1,0,3,0,Mr
2,1,3,1,1,0,0,1,2,Miss
3,1,1,1,2,1,0,3,2,Miss
4,0,3,0,2,0,0,1,2,Mr
5,0,3,0,1,0,0,1,1,Mr
6,0,1,0,3,0,0,3,2,Mr
7,0,3,0,0,1,1,2,2,Master
8,1,3,1,1,0,1,1,2,Master
9,1,2,1,0,1,0,2,0,Master
10,1,3,1,0,1,1,2,2,Miss
11,1,1,1,3,0,0,2,2,Miss
12,0,3,0,1,0,0,1,2,Mr
13,0,3,0,2,1,1,3,2,Mr
14,0,3,1,0,0,0,0,2,Miss
15,1,2,1,3,0,0,2,2,Miss
16,0,3,0,0,1,1,2,1,Master
17,1,2,0,1,0,0,1,2,Mr
18,0,3,1,1,1,0,2,2,Mr
19,1,3,1,1,0,0,0,0,Mr
20,0,2,0,2,0,0,2,2,Mr
21,1,2,0,2,0,0,1,2,Mr
22,1,3,1,0,0,0,1,1,Miss
23,1,1,0,1,0,0,3,2,Mr
24,0,3,1,0,1,1,2,2,Miss
25,1,3,1,2,1,1,3,2,Miss
26,0,3,0,1,0,0,0,0,Mr
27,0,1,0,1,1,1,3,2,Mr
28,1,3,1,1,0,0,0,1,Miss
29,0,3,0,1,0,0,0,2,Mr
30,0,1,0,2,0,0,2,0,Rare
31,1,1,1,1,1,0,3,0,Rare
32,1,3,1,1,0,0,0,1,Miss
33,0,2,0,4,0,0,1,2,Mr
34,0,1,0,1,1,0,3,0,Mr
35,0,1,0,2,1,0,3,2,Mr
36,1,3,0,1,0,0,0,0,Mr
37,0,3,0,1,0,0,1,2,Mr
38,0,3,1,1,1,0,2,2,Miss
39,1,3,1,0,1,0,1,0,Miss
40,0,3,1,2,1,0,1,2,Miss
41,0,2,1,1,1,0,2,2,Miss
42,0,3,0,1,0,0,0,0,Mr
43,1,2,1,0,1,1,3,0,Miss
44,1,3,1,1,0,0,0,1,Miss
45,0,3,0,1,0,0,1,2,Mr
46,0,3,0,1,1,0,2,1,Mr
47,1,3,1,1,0,0,0,1,Miss
48,0,3,0,1,1,0,2,0,Mr
49,0,3,1,1,1,0,2,2,Mr
50,0,3,0,0,1,1,3,2,Master
51,0,3,0,1,0,0,0,2,Mr
52,1,1,1,3,1,0,3,0,Mr
53,1,2,1,1,1,0,2,2,Mr
54,0,1,0,4,0,1,3,0,Mr
55,1,1,0,1,0,0,3,2,Mr
56,1,2,1,1,0,0,1,2,Miss
57,0,3,0,1,0,0,0,0,Mr
58,1,2,1,0,1,1,2,2,Miss
59,0,3,0,0,1,1,3,2,Master
60,0,3,0,1,0,0,0,0,Mr
61,1,1,1,2,0,0,3,2,Miss
62,0,1,0,2,1,0,3,2,Mr
63,0,3,0,0,1,1,2,2,Master
64,0,1,0,1,0,0,2,0,Mr
65,1,3,0,1,1,1,2,0,Master
66,1,2,1,1,0,0,1,2,Master
67,0,3,0,1,0,0,1,2,Mr
68,1,3,1,1,1,1,1,2,Miss
69,0,3,0,1,1,0,1,2,Mr
70,0,2,0,1,0,0,1,2,Mr
71,0,3,1,0,1,1,3,2,Miss
72,0,2,0,1,0,0,3,2,Mr
73,0,3,0,1,1,0,2,0,Mr
74,1,3,0,1,0,0,3,2,Mr
75,0,3,0,1,0,0,0,2,Mr
76,0,3,0,1,0,0,0,2,Mr
77,0,3,0,1,0,0,1,2,Mr
78,1,2,0,0,0,1,2,2,Master
79,1,3,1,1,0,0,1,2,Miss
80,0,3,0,1,0,0,1,2,Mr
81,1,3,0,1,0,0,1,2,Mr
82,1,3,1,1,0,0,0,1,Miss
83,0,1,0,1,0,0,3,2,Mr
84,1,2,1,1,0,0,1,2,Miss
85,1,3,1,2,1,0,2,2,Miss
86,0,3,0,0,1,1,3,2,Mr
87,0,3,0,1,0,0,1,2,Mr
88,1,1,1,1,1,1,3,2,Miss
89,0,3,0,1,0,0,1,2,Mr
90,0,3,0,1,0,0,1,2,Mr
91,0,3,0,1,0,0,0,2,Mr
92,0,1,0,2,1,0,3,2,Mr
93,0,3,0,1,1,1,2,2,Mr
94,0,3,0,3,0,0,0,2,Mr
95,0,3,0,1,0,0,1,2,Mr
96,0,1,0,4,0,0,3,0,Mr
97,1,1,0,1,0,1,3,0,Mr
98,1,2,1,2,0,1,2,2,Mr
99,0,2,0,2,1,0,2,2,Mr
100,0,3,1,1,0,0,0,2,Miss
101,0,3,0,1,0,0,0,2,Mr
102,0,1,0,1,0,1,3,2,Mr
103,0,3,0,2,0,0,1,2,Mr
104,0,3,0,2,1,0,1,2,Mr
105,0,3,0,1,0,0,0,2,Mr
106,1,3,1,1,0,0,0,2,Miss
107,1,3,0,1,0,0,0,2,Mr
108,0,3,0,2,0,0,0,2,Mr
109,1,3,1,1,1,0,2,1,Miss
110,0,1,0,2,0,0,3,2,Mr
111,0,3,1,0,1,0,2,0,Miss
112,0,3,0,1,0,0,1,2,Mr
113,0,3,1,1,1,0,1,2,Miss
114,0,3,1,1,0,0,2,0,Miss
115,0,3,0,1,0,0,1,2,Mr
116,0,3,0,4,0,0,0,1,Mr
117,0,2,0,1,1,0,2,2,Mr
118,0,1,0,1,0,1,3,0,Mr
119,0,3,1,0,1,1,3,2,Miss
120,0,2,0,1,1,0,3,2,Mr
121,0,3,0,1,0,0,1,2,Mr
122,0,2,0,2,1,0,2,0,Mr
123,1,2,1,2,0,0,1,2,Miss
124,0,1,0,3,0,1,3,2,Mr
125,1,3,0,0,1,0,1,0,Master
126,0,3,0,1,0,0,0,1,Mr
127,1,3,0,1,0,0,0,2,Mr
128,1,3,1,1,1,1,2,0,Miss
129,0,3,0,2,0,0,0,2,Mr
130,0,3,0,2,0,0,0,0,Mr
131,0,3,0,1,0,0,0,2,Mr
132,0,3,1,2,1,0,2,2,Mr
133,1,2,1,1,1,0,2,2,Mr
134,0,2,0,1,0,0,1,2,Mr
135,0,2,0,1,0,0,2,0,Mr
136,1,1,1,1,0,1,2,2,Miss
137,0,1,0,2,1,0,3,2,Mr
138,0,3,0,0,0,0,1,2,Mr
139,0,1,0,1,0,0,3,0,Mr
140,0,3,1,1,0,1,2,0,Mr
141,1,3,1,1,0,0,0,2,Miss
142,1,3,1,1,1,0,2,2,Miss
143,0,3,0,1,0,0,0,1,Mr
144,0,2,0,1,0,0,1,2,Mr
145,0,2,0,1,1,1,3,2,Mr
146,1,3,0,1,0,0,0,2,Mr
147,0,3,1,0,1,1,3,2,Miss
148,0,2,0,2,0,1,2,2,Mr
149,0,2,0,2,0,0,1,2,Rare
150,0,2,0,3,0,0,1,2,Rare
151,1,1,1,1,1,0,3,2,Rare
152,0,3,0,3,0,0,1,2,Mr
153,0,3,0,2,0,1,2,2,Mr
154,0,3,0,1,0,0,0,2,Mr
155,0,1,0,3,0,1,3,0,Mr
156,1,3,1,0,0,0,0,1,Miss
157,0,3,0,1,0,0,1,2,Mr
158,0,3,0,1,0,0,1,2,Mr
159,0,3,0,1,1,1,3,2,Master
160,0,3,0,2,0,1,2,2,Mr
161,1,2,1,2,0,0,2,2,Mr
162,0,3,0,1,0,0,0,2,Mr
163,0,3,0,1,0,0,1,2,Mr
164,0,3,0,0,1,1,3,2,Master
165,1,3,0,0,0,1,2,2,Master
166,1,1,1,1,0,1,3,2,Master
167,0,3,1,2,1,1,2,2,Master
168,0,1,0,1,0,0,2,2,Mr
169,0,3,0,1,0,0,3,2,Mr
170,0,1,0,3,0,0,3,2,Mr
171,0,3,0,0,1,1,2,1,Master
172,1,3,1,0,1,1,1,2,Miss
173,0,3,0,1,0,0,1,2,Mr
174,0,1,0,3,0,0,2,0,Mr
175,0,3,0,1,1,1,0,2,Mr
176,0,3,0,1,1,1,2,2,Master
177,0,1,1,3,0,0,2,0,Miss
178,0,2,0,1,0,0,1,2,Mr
179,0,3,0,2,0,0,0,2,Mr
180,0,3,1,1,1,1,3,2,Miss
181,0,2,0,1,0,0,2,0,Mr
182,0,3,0,0,1,1,3,2,Master
183,1,2,0,0,1,1,3,2,Master
184,1,3,1,0,0,1,2,2,Miss
185,0,1,0,1,0,0,3,2,Mr
186,1,3,1,1,1,0,2,1,Mr
187,1,1,0,2,0,0,2,2,Mr
188,0,3,0,2,1,1,2,1,Mr
189,0,3,0,2,0,0,0,2,Mr
190,1,2,1,1,0,0,1,2,Mr
191,0,2,0,1,0,0,1,2,Mr
192,1,3,1,1,1,0,0,2,Miss
193,1,2,0,0,1,1,2,2,Master
194,1,1,1,2,0,0,2,0,Master
195,1,1,1,3,0,0,3,0,Miss
196,0,3,0,1,0,0,0,1,Mr
197,0,3,0,2,0,1,1,2,Mr
198,1,3,1,1,0,0,0,1,Miss
199,0,2,1,1,0,0,1,2,Miss
200,0,3,0,1,0,0,1,2,Mr
201,0,3,0,1,1,1,3,2,Mr
202,0,3,0,2,0,0,0,2,Mr
203,0,3,0,2,0,0,0,0,Mr
204,1,3,0,1,0,0,1,2,Mr
205,0,3,1,0,0,1,1,2,Miss
206,0,3,0,1,1,0,2,2,Mr
207,1,3,0,1,0,0,2,0,Mr
208,1,3,1,0,0,0,0,1,Miss
209,1,1,0,2,0,0,2,0,Mr
210,0,3,0,1,0,0,0,2,Mr
211,1,2,1,2,0,0,2,2,Miss
212,0,3,0,1,0,0,0,2,Mr
213,0,2,0,1,0,0,1,2,Mr
214,0,3,0,1,1,0,0,1,Mr
215,1,1,1,1,1,0,3,0,Miss
216,1,3,1,1,0,0,1,2,Miss
217,0,2,0,2,1,0,2,2,Mr
218,1,1,1,1,0,0,3,0,Miss
219,0,2,0,1,0,0,1,2,Mr
220,1,3,0,0,0,0,1,2,Mr
221,0,2,0,1,0,0,1,2,Mr
222,0,3,0,3,0,0,1,2,Mr
223,0,3,0,1,0,0,0,2,Mr
224,1,1,0,2,1,0,3,2,Mr
225,0,3,0,1,0,0,1,2,Mr
226,1,2,0,1,0,0,1,2,Mr
227,0,3,0,1,0,0,0,2,Mr
228,0,2,0,1,0,0,1,2,Mr
229,0,3,1,1,1,1,2,2,Miss
230,1,1,1,2,1,0,3,2,Miss
231,0,3,0,1,0,0,0,2,Mr
232,0,2,0,3,0,0,1,2,Mr
233,1,3,1,0,1,1,3,2,Miss
234,0,2,0,1,0,0,1,2,Mr
235,0,3,1,1,0,0,0,2,Miss
236,0,2,0,2,1,0,2,2,Mr
237,1,2,1,0,0,1,2,2,Miss
238,0,2,0,1,0,0,1,2,Mr
239,0,2,0,2,0,0,1,2,Mr
240,0,3,1,1,1,0,2,0,Miss
241,1,3,1,1,1,0,2,1,Miss
242,0,2,0,1,0,0,1,2,Mr
243,0,3,0,1,0,0,0,2,Mr
244,0,3,0,1,0,0,0,0,Mr
245,0,1,0,2,1,0,3,1,Rare
246,0,3,1,1,0,0,0,2,Miss
247,1,2,1,1,0,1,2,2,Miss
248,1,1,0,2,1,1,3,2,Mr
249,0,2,0,3,1,0,2,2,Rare
250,0,3,0,1,0,0,0,2,Mr
251,0,3,1,1,1,1,1,2,Mr
252,0,1,0,3,0,0,2,2,Mr
253,0,3,0,1,1,0,2,2,Mr
254,0,3,1,2,0,1,2,2,Mr
255,1,3,1,1,0,1,2,0,Mr
256,1,1,1,1,0,0,3,0,Mr
257,1,1,1,1,0,0,3,2,Miss
258,1,1,1,2,0,0,3,0,Miss
259,1,2,1,3,0,1,2,2,Miss
260,0,3,0,1,0,0,0,1,Mr
261,1,3,0,0,1,1,3,2,Master
262,0,1,0,3,1,1,3,2,Mr
263,0,1,0,2,0,0,0,2,Mr
264,0,3,1,1,0,0,0,1,Miss
265,0,2,0,2,0,0,1,2,Mr
266,0,3,0,0,1,1,3,2,Mr
267,1,3,0,1,1,0,0,2,Mr
268,1,1,1,3,0,1,3,2,Mr
269,1,1,1,2,0,0,3,2,Miss
270,0,1,0,1,0,0,2,2,Mr
271,1,3,0,1,0,0,0,2,Mr
272,1,2,1,2,0,1,2,2,Mr
273,0,1,0,2,0,1,2,0,Mr
274,1,3,1,1,0,0,0,1,Miss
275,1,1,1,3,1,0,3,2,Miss
276,0,3,1,2,0,0,0,2,Miss
277,0,2,0,1,0,0,0,2,Mr
278,0,3,0,0,1,1,2,1,Master
279,1,3,1,2,1,1,2,2,Master
280,0,3,0,4,0,0,0,1,Mr
281,0,3,0,1,0,0,0,2,Mr
282,0,3,0,0,0,0,1,2,Mr
283,1,3,0,1,0,0,1,2,Mr
284,0,1,0,1,0,0,2,2,Mr
285,0,3,0,2,0,0,1,0,Mr
286,1,3,0,1,0,0,1,2,Mr
287,0,3,0,1,0,0,0,2,Mr
288,1,2,0,2,0,0,1,2,Mr
289,1,3,1,1,0,0,0,1,Miss
290,1,1,1,1,0,0,3,2,Miss
291,1,1,1,1,1,0,3,0,Miss
292,0,2,0,2,0,0,1,0,Mr
293,0,3,1,1,0,0,1,2,Miss
294,0,3,0,1,0,0,0,2,Mr
295,0,1,0,1,0,0,2,0,Mr
296,0,3,0,1,0,0,0,0,Mr
297,0,1,1,0,1,1,3,2,Miss
298,1,1,0,1,0,0,2,2,Mr
299,1,1,1,3,0,1,3,0,Mr
300,1,3,1,1,0,0,0,1,Miss
301,1,3,0,1,1,0,2,1,Mr
302,0,3,0,1,0,0,0,2,Mr
303,1,2,1,1,0,0,1,1,Miss
304,0,3,0,1,0,0,1,2,Mr
305,1,1,0,0,1,1,3,2,Master
306,1,1,1,1,0,0,3,0,Miss
307,1,1,1,1,1,0,3,0,Miss
308,0,2,0,1,1,0,2,0,Mr
309,1,1,1,1,0,0,3,0,Miss
310,1,1,1,1,0,0,3,0,Miss
311,1,1,1,1,1,1,3,0,Miss
312,0,2,1,1,1,1,2,2,Miss
313,0,3,0,1,0,0,0,2,Mr
314,0,2,0,2,1,1,2,2,Mr
315,1,3,1,1,0,0,0,2,Miss
316,1,2,1,1,1,0,2,2,Miss
317,0,2,0,3,0,0,1,2,Rare
318,1,1,1,1,0,1,3,2,Miss
319,1,1,1,2,1,1,3,0,Miss
320,0,3,0,1,0,0,0,2,Mr
321,0,3,0,1,0,0,0,2,Mr
322,1,2,1,1,0,0,1,1,Miss
323,1,2,1,1,1,1,2,2,Miss
324,0,3,0,1,1,1,3,2,Mr
325,1,1,1,2,0,0,3,0,Miss
326,0,3,0,3,0,0,0,2,Mr
327,1,2,1,2,0,0,1,2,Mr
328,1,3,1,1,1,1,2,2,Mr
329,1,1,1,0,0,1,3,0,Miss
330,1,3,1,1,1,0,2,1,Miss
331,0,1,0,2,0,0,2,2,Mr
332,0,1,0,2,0,1,3,2,Mr
333,0,3,0,0,1,0,2,2,Mr
334,1,1,1,1,1,0,3,2,Mr
335,0,3,0,1,0,0,0,2,Mr
336,0,1,0,1,1,0,3,2,Mr
337,1,1,1,2,0,0,3,0,Miss
338,1,3,0,2,0,0,1,2,Mr
339,0,1,0,2,0,0,3,2,Mr
340,1,2,0,0,1,1,2,2,Master
341,1,1,1,1,1,1,3,2,Miss
342,0,2,0,1,0,0,1,2,Mr
343,0,2,0,1,0,0,1,2,Mr
344,0,2,0,2,0,0,1,2,Mr
345,1,2,1,1,0,0,1,2,Miss
346,1,2,1,2,0,0,1,2,Miss
347,1,3,1,1,1,0,2,2,Miss
348,1,3,0,0,1,1,2,2,Master
349,0,3,0,2,0,0,1,2,Mr
350,0,3,0,1,0,0,1,2,Mr
351,0,1,0,1,0,0,3,2,Mr
352,0,3,0,0,1,1,0,0,Mr
353,0,3,0,1,1,0,2,2,Mr
354,0,3,0,1,0,0,0,0,Mr
355,0,3,0,1,0,0,1,2,Mr
356,1,1,1,1,0,1,3,2,Miss
357,0,2,1,2,0,0,1,2,Miss
358,1,3,1,1,0,0,0,1,Miss
359,1,3,1,1,0,0,0,1,Miss
360,0,3,0,2,1,1,2,2,Mr
361,0,2,0,1,1,0,2,0,Mr
362,0,3,1,2,0,1,2,0,Mr
363,0,3,0,2,0,0,0,2,Mr
364,0,3,0,1,1,0,2,1,Mr
365,0,3,0,1,0,0,0,2,Mr
366,1,1,1,3,1,0,3,0,Mr
367,1,3,1,1,0,0,0,0,Mr
368,1,3,1,1,0,0,0,1,Miss
369,1,1,1,1,0,0,3,0,Miss
370,1,1,0,1,1,0,3,0,Mr
371,0,3,0,1,1,0,0,2,Mr
372,0,3,0,1,0,0,1,2,Mr
373,0,1,0,1,0,0,3,0,Mr
374,0,3,1,0,1,1,2,2,Miss
375,1,1,1,1,1,0,3,0,Miss
376,1,3,1,1,0,0,0,2,Miss
377,0,1,0,1,0,1,3,0,Mr
378,0,3,0,1,0,0,0,0,Mr
379,0,3,0,1,0,0,0,2,Mr
380,1,1,1,2,0,0,3,0,Miss
381,1,3,1,0,0,1,2,0,Miss
382,0,3,0,1,0,0,1,2,Mr
383,1,1,1,2,1,0,3,2,Mr
384,0,3,0,1,0,0,0,2,Mr
385,0,2,0,1,0,0,3,2,Mr
386,0,3,0,0,1,1,3,2,Master
387,1,2,1,2,0,0,1,2,Miss
388,0,3,0,1,0,0,0,1,Mr
389,1,2,1,1,0,0,1,0,Miss
390,1,1,0,2,1,1,3,2,Mr
391,1,3,0,1,0,0,0,2,Mr
392,0,3,0,1,1,0,1,2,Mr
393,1,1,1,1,1,0,3,0,Miss
394,1,3,1,1,0,1,2,2,Miss
395,0,3,0,1,0,0,0,2,Mr
396,0,3,1,1,0,0,0,2,Miss
397,0,2,0,2,0,0,2,2,Mr
398,0,2,0,1,0,0,1,2,Rare
399,1,2,1,1,0,0,1,2,Rare
400,1,3,0,2,0,0,1,2,Mr
401,0,3,0,1,0,0,1,2,Mr
402,0,3,1,1,1,0,1,2,Miss
403,0,3,0,1,1,0,2,2,Mr
404,0,3,1,1,0,0,1,2,Miss
405,0,2,0,2,1,0,2,2,Mr
406,0,3,0,3,0,0,0,2,Mr
407,1,2,0,0,1,1,2,2,Master
408,0,3,0,1,0,0,0,2,Mr
409,0,3,1,1,1,1,2,2,Miss
410,0,3,0,1,0,0,0,2,Mr
411,0,3,0,1,0,0,0,1,Mr
412,1,1,1,2,1,0,3,1,Miss
413,0,2,0,1,0,0,0,2,Mr
414,1,3,0,2,0,0,1,2,Mr
415,0,3,1,1,0,0,1,2,Mr
416,1,2,1,2,1,1,3,2,Mr
417,1,2,1,1,0,1,1,2,Miss
418,0,2,0,1,0,0,1,2,Mr
419,0,3,1,0,0,1,2,2,Miss
420,0,3,0,1,0,0,0,0,Mr
421,0,3,0,1,0,0,0,1,Mr
422,0,3,0,1,0,0,0,2,Mr
423,0,3,1,1,1,1,1,2,Mr
424,0,3,0,1,1,1,2,2,Mr
425,0,3,0,1,0,0,0,2,Mr
426,1,2,1,1,1,0,2,2,Mr
427,1,2,1,1,0,0,2,2,Miss
428,0,3,0,1,0,0,0,1,Mr
429,1,3,0,1,0,0,1,2,Mr
430,1,1,0,1,0,0,2,2,Mr
431,1,3,1,1,1,0,2,2,Mr
432,1,2,1,2,1,0,2,2,Mr
433,0,3,0,1,0,0,0,2,Mr
434,0,1,0,3,1,0,3,2,Mr
435,1,1,1,0,1,1,3,2,Miss
436,0,3,1,1,1,1,3,2,Miss
437,1,2,1,1,1,1,2,2,Miss
438,0,1,0,3,1,1,3,2,Mr
439,0,2,0,1,0,0,1,2,Mr
440,1,2,1,2,1,1,2,2,Mr
441,0,3,0,1,0,0,1,2,Mr
442,0,3,0,1,1,0,0,2,Mr
443,1,2,1,1,0,0,1,2,Mr
